CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
3.745401188473625,18.513292883861965,7.851170512077179,0.0,0.44325977446356146,6.595795722038332,51.874784711470944,3.212927555177674,20.0,440.0,18.83893354777677,241.64356046033885,35.92045443809429,19.804809860958596
9.50714306409916,,7.409363972159994,0.0,0.7013201561764648,,5.116550644547591,1.8806974278186215,,571.0,19.947977548207767,299.69453224098686,2.9702888402210528,36.74453832925481
7.319939418114051,87.29458358764083,27.1876374156311,0.0,0.7986189499518013,4.729107155757177,23.285855687609423,6.218984978289756,2.0,348.0,13.128581649436972,374.5387789884333,26.968125219404996,35.40853648238824
,73.22248864095612,7.486385995485183,1.0,0.3150130026646964,3.0387861467382633,,1.1096615820797036,5.0,334.0,17.33521430980984,236.63972916669587,3.795495807338052,41.29531844586815
,80.65611478614497,8.15849178385893,0.0,0.748682932895466,5.977435331404884,31.023528374470477,1.932427698689665,1.0,182.0,13.012651809874097,4.825007128960301,28.542306452637558,18.342927506395895
1.5599452033620265,65.87833667107174,22.78194787253891,1.0,0.611315266799329,4.713755931373458,18.176359776119423,9.883884565192727,5.0,192.0,20.725740192976446,13.716671324216945,2.324881531985085,27.956234385968084
0.5808361216819946,69.22765645178525,13.4921952735162,,0.7866913095824106,7.40764980426321,50.41328419184383,9.48620679345567,6.0,493.0,17.076367226563473,280.93537364074473,33.855851380720715,35.04532779537291
8.661761457749352,84.91956515653193,23.301316708655435,0.0,,3.143677591622901,32.28097934478503,,2.0,367.0,20.079656892607574,111.6340544605134,,6.181556846445773
6.011150117432088,24.966800885918595,1.9609847269315572,0.0,0.7236939652856869,,25.810764317341473,10.399669795018244,1.0,516.0,15.680856376662142,231.7518909391795,4.6447025940862385,21.95324353989296
7.080725777960454,48.942496364314046,14.62713581020153,1.0,,8.648845425036392,46.39854174403808,8.514931195637999,4.0,682.0,13.250782268163254,80.91087243626758,,
,22.120944181960223,1.008408005498479,1.0,0.46763952503914785,4.046455602668997,13.328425808217315,1.5756614303072913,7.0,628.0,12.414993043857114,108.09955002468566,20.082316142646736,16.366779190361004
9.699098521619943,98.7668007996647,,0.0,0.333508268875605,,92.77457330754073,9.611334797853232,,352.0,14.815096207723755,201.8564223792301,8.447005496142273,
8.324426408004218,94.40593396866133,27.193123600332328,0.0,0.7876715667395353,3.548531950902829,86.7702097919239,10.300618919246165,1.0,221.0,14.442337003640786,390.2277853424328,1.6112225816603054,6.357261717807753
2.1233911067827616,3.94268113685059,,0.0,,6.754091473568115,70.76205857405353,9.7899036034915,1.0,109.0,17.60351974019962,246.50819568367663,17.30193212929595,
1.8182496720710062,70.55751725156884,15.972620468256514,,0.7262737106229853,6.303190083577354,10.621382758845622,6.593269388388287,8.0,415.0,12.217388380637074,374.4592418052093,4.339539998412887,14.754374060468002
1.8340450985343382,92.52483174156659,12.332868078021196,1.0,0.768982615716947,5.444193145276994,77.5877254469693,3.5619202251442985,20.0,372.0,17.205705442991736,383.751941754779,4.67261823164225,7.19699188664165
3.0424224295953772,18.057534512733355,10.42029978776528,1.0,0.34255174305989267,6.128262128842447,80.7957328109019,10.298629732575993,,405.0,15.91771742012003,83.24399856820297,11.425852386144397,18.161331495060086
5.247564316322379,56.79452305526295,26.995000370618175,1.0,0.49279879625666667,8.379447950814061,76.77646177143377,8.998790907141522,21.0,309.0,17.77122269914442,124.47744098757778,25.58787359245455,40.38270382806014
